City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,muisne,EC,77.36,overcast clouds,0.6,-80.0333,Quinta Samay
201,kongolo,CD,71.73,scattered clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
203,mahroni,IN,88.39,broken clouds,24.5862,78.7288,Sahu Samaj Dharmashala
204,yanam,IN,76.93,moderate rain,16.7333,82.2167,The Regency Hotel
205,weinan,CN,78.48,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
206,san jose,US,82.56,clear sky,37.3394,-121.895,The Westin San Jose
207,naze,JP,74.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
208,kawalu,ID,70.23,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
209,kirksville,US,82.58,overcast clouds,40.1948,-92.5833,Budget Host-Village Inn
210,dezful,IR,88.97,clear sky,32.3811,48.4058,سالن پیرایش امید
211,ambulu,ID,74.89,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
212,mansehra,PK,76.59,clear sky,34.3333,73.2,Pine Park Hotel & Resorts
213,mabaruma,GY,77.36,few clouds,8.2,-59.7833,Monty Brooms Guest House
214,bentiu,SS,84.18,light rain,9.2333,29.8333,Mandela hôtel
216,sao joao da barra,BR,71.83,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
217,guilin,CN,74.68,broken clouds,25.2819,110.2864,Grand 0773 Hotel
218,sinnamary,GF,77.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
219,sao jose do belmonte,BR,75.02,clear sky,-7.8614,-38.7597,Pousada Pedra do Reino
